,Request,Sample,Batch,Parameter List,Parameter,Data,Batch # or Lot #,Recipe / Alternate / Version
1016,R-20221108-00037,S-221108-01250,,Lumisizer - VM,Bottom Separation,N,F-221107-00096,
1017,R-20221108-00037,S-221108-01250,,Lumisizer - VM,Bottom Severity (%),0,F-221107-00096,
1018,R-20221108-00037,S-221108-01250,,Lumisizer - VM,Top Onset (min),0,F-221107-00096,
1019,R-20221108-00037,S-221108-01250,,Lumisizer - VM,Bottom Onset (min),0,F-221107-00096,
1020,R-20221108-00037,S-221108-01250,,Lumisizer - VM,Top Severity (%),0,F-221107-00096,
1021,R-20221108-00037,S-221108-01250,,Lumisizer - VM,Top Separation,N,F-221107-00096,
1022,R-20221108-00039,S-221108-00626,,Lumisizer - VM,Bottom Separation,N,FARM19102022S1,200000264525/000/000
1023,R-20221108-00039,S-221108-00626,,Lumisizer - VM,Bottom Severity (%),0,FARM19102022S1,200000264525/000/000
1024,R-20221108-00039,S-221108-00626,,Lumisizer - VM,Top Severity (%),0,FARM19102022S1,200000264525/000/000
1025,R-20221108-00039,S-221108-00626,,Lumisizer - VM,Bottom Onset (min),0,FARM19102022S1,200000264525/000/000
1026,R-20221108-00039,S-221108-00626,,Lumisizer - VM,Top Separation,N,FARM19102022S1,200000264525/000/000
1027,R-20221108-00039,S-221108-00626,,Lumisizer - VM,Top Onset (min),0,FARM19102022S1,200000264525/000/000
1028,R-20221108-00040,S-221108-00672,,Lumisizer - VM,Top Onset (min),0,FARM17102022S1,200000264525/000/000
1029,R-20221108-00040,S-221108-00672,,Lumisizer - VM,Bottom Onset (min),0,FARM17102022S1,200000264525/000/000
1030,R-20221108-00040,S-221108-00672,,Lumisizer - VM,Bottom Separation,N,FARM17102022S1,200000264525/000/000
1031,R-20221108-00040,S-221108-00672,,Lumisizer - VM,Bottom Severity (%),0,FARM17102022S1,200000264525/000/000
1032,R-20221108-00040,S-221108-00672,,Lumisizer - VM,Top Separation,N,FARM17102022S1,200000264525/000/000
1033,R-20221108-00040,S-221108-00672,,Lumisizer - VM,Top Severity (%),0,FARM17102022S1,200000264525/000/000
1034,R-20221108-00041,S-221108-00718,,Lumisizer - VM,Bottom Severity (%),0,FARM19102022S4,200000264525/000/000
1035,R-20221108-00041,S-221108-00718,,Lumisizer - VM,Top Separation,N,FARM19102022S4,200000264525/000/000
1036,R-20221108-00041,S-221108-00718,,Lumisizer - VM,Top Onset (min),0,FARM19102022S4,200000264525/000/000
1037,R-20221108-00041,S-221108-00718,,Lumisizer - VM,Bottom Onset (min),0,FARM19102022S4,200000264525/000/000
1038,R-20221108-00041,S-221108-00718,,Lumisizer - VM,Bottom Separation,N,FARM19102022S4,200000264525/000/000
1039,R-20221108-00041,S-221108-00718,,Lumisizer - VM,Top Severity (%),0,FARM19102022S4,200000264525/000/000
1040,R-20221108-00042,S-221108-00764,,Lumisizer - VM,Top Onset (min),0,FARM17102022S4,200000264525/000/000
1041,R-20221108-00042,S-221108-00764,,Lumisizer - VM,Bottom Severity (%),0,FARM17102022S4,200000264525/000/000
1042,R-20221108-00042,S-221108-00764,,Lumisizer - VM,Top Separation,N,FARM17102022S4,200000264525/000/000
1043,R-20221108-00042,S-221108-00764,,Lumisizer - VM,Bottom Onset (min),0,FARM17102022S4,200000264525/000/000
1044,R-20221108-00042,S-221108-00764,,Lumisizer - VM,Bottom Separation,N,FARM17102022S4,200000264525/000/000
1045,R-20221108-00042,S-221108-00764,,Lumisizer - VM,Top Severity (%),0,FARM17102022S4,200000264525/000/000
1046,R-20221108-00044,S-221108-01022,,Lumisizer - VM,Bottom Separation,N,10042ZS01,2E+11
1047,R-20221108-00044,S-221108-01022,,Lumisizer - VM,Top Onset (min),350.6,10042ZS01,2E+11
1048,R-20221108-00044,S-221108-01022,,Lumisizer - VM,Top Separation,Y,10042ZS01,2E+11
1049,R-20221108-00044,S-221108-01022,,Lumisizer - VM,Top Severity (%),3.1,10042ZS01,2E+11
1050,R-20221108-00044,S-221108-01022,,Lumisizer - VM,Bottom Severity (%),0,10042ZS01,2E+11
1051,R-20221108-00044,S-221108-01022,,Lumisizer - VM,Bottom Onset (min),0,10042ZS01,2E+11
1052,R-20221108-00053,S-221108-01110,,Lumisizer - VM,Bottom Onset (min),0,F-221108-00099,200000247512/003/000
1053,R-20221108-00053,S-221108-01110,,Lumisizer - VM,Top Severity (%),0,F-221108-00099,200000247512/003/000
1054,R-20221108-00053,S-221108-01110,,Lumisizer - VM,Bottom Severity (%),0,F-221108-00099,200000247512/003/000
1055,R-20221108-00053,S-221108-01110,,Lumisizer - VM,Bottom Separation,N,F-221108-00099,200000247512/003/000
1056,R-20221108-00053,S-221108-01110,,Lumisizer - VM,Top Onset (min),0,F-221108-00099,200000247512/003/000
1057,R-20221108-00053,S-221108-01110,,Lumisizer - VM,Top Separation,N,F-221108-00099,200000247512/003/000
1058,R-20221109-00058,S-221109-00936,,Lumisizer - VM,Top Onset (min),0,F-221108-00112,200000247512/003/000
1059,R-20221109-00058,S-221109-00936,,Lumisizer - VM,Top Separation,N,F-221108-00112,200000247512/003/000
1060,R-20221109-00058,S-221109-00936,,Lumisizer - VM,Bottom Separation,N,F-221108-00112,200000247512/003/000
1061,R-20221109-00058,S-221109-00936,,Lumisizer - VM,Top Severity (%),0,F-221108-00112,200000247512/003/000
1062,R-20221109-00058,S-221109-00936,,Lumisizer - VM,Bottom Onset (min),0,F-221108-00112,200000247512/003/000
1063,R-20221109-00058,S-221109-00936,,Lumisizer - VM,Bottom Severity (%),0,F-221108-00112,200000247512/003/000
1064,R-20221109-00059,S-221109-00982,,Lumisizer - VM,Top Onset (min),0,F-221108-00113,200000247512/003/000
1065,R-20221109-00059,S-221109-00982,,Lumisizer - VM,Bottom Separation,N,F-221108-00113,200000247512/003/000
1066,R-20221109-00059,S-221109-00982,,Lumisizer - VM,Bottom Severity (%),0,F-221108-00113,200000247512/003/000
1067,R-20221109-00059,S-221109-00982,,Lumisizer - VM,Bottom Onset (min),0,F-221108-00113,200000247512/003/000
1068,R-20221109-00059,S-221109-00982,,Lumisizer - VM,Top Separation,N,F-221108-00113,200000247512/003/000
1069,R-20221109-00059,S-221109-00982,,Lumisizer - VM,Top Severity (%),0,F-221108-00113,200000247512/003/000
1070,R-20221111-00038,S-221111-00602,,Lumisizer - VM,Bottom Severity (%),0,F-221108-00145,200000270447/000/001
1071,R-20221111-00038,S-221111-00602,,Lumisizer - VM,Top Separation,N,F-221108-00145,200000270447/000/001
1072,R-20221111-00038,S-221111-00602,,Lumisizer - VM,Top Onset (min),0,F-221108-00145,200000270447/000/001
1073,R-20221111-00038,S-221111-00602,,Lumisizer - VM,Top Severity (%),0,F-221108-00145,200000270447/000/001
1074,R-20221111-00038,S-221111-00602,,Lumisizer - VM,Bottom Onset (min),0,F-221108-00145,200000270447/000/001
1075,R-20221111-00038,S-221111-00602,,Lumisizer - VM,Bottom Separation,N,F-221108-00145,200000270447/000/001
1076,R-20221112-00001,S-221115-00840,,Lumisizer - VM,Top Severity (%),10.5,F-221109-00110,200000222971/001/000
1077,R-20221112-00001,S-221115-00840,,Lumisizer - VM,Top Separation,Y,F-221109-00110,200000222971/001/000
1078,R-20221112-00001,S-221115-00840,,Lumisizer - VM,Bottom Onset (min),0,F-221109-00110,200000222971/001/000
1079,R-20221112-00001,S-221115-00840,,Lumisizer - VM,Bottom Severity (%),0,F-221109-00110,200000222971/001/000
1080,R-20221112-00001,S-221115-00840,,Lumisizer - VM,Top Onset (min),3,F-221109-00110,200000222971/001/000
1081,R-20221112-00001,S-221115-00840,,Lumisizer - VM,Bottom Separation,N,F-221109-00110,200000222971/001/000
1082,R-20221112-00002,S-221115-00850,,Lumisizer - VM,Bottom Separation,N,F-221109-00111,200000222971/001/000
1083,R-20221112-00002,S-221115-00850,,Lumisizer - VM,Top Separation,N,F-221109-00111,200000222971/001/000
1084,R-20221112-00002,S-221115-00850,,Lumisizer - VM,Bottom Onset (min),0,F-221109-00111,200000222971/001/000
1085,R-20221112-00002,S-221115-00850,,Lumisizer - VM,Top Onset (min),0,F-221109-00111,200000222971/001/000
1086,R-20221112-00002,S-221115-00850,,Lumisizer - VM,Top Severity (%),0,F-221109-00111,200000222971/001/000
1087,R-20221112-00002,S-221115-00850,,Lumisizer - VM,Bottom Severity (%),0,F-221109-00111,200000222971/001/000
1088,R-20221114-00092,S-221114-01673,,Lumisizer - VM,Top Onset (min),0,10062ZS02,2E+11
1089,R-20221114-00092,S-221114-01673,,Lumisizer - VM,Bottom Onset (min),0,10062ZS02,2E+11
1090,R-20221114-00092,S-221114-01673,,Lumisizer - VM,Top Severity (%),0,10062ZS02,2E+11
1091,R-20221114-00092,S-221114-01673,,Lumisizer - VM,Top Separation,N,10062ZS02,2E+11
1092,R-20221114-00092,S-221114-01673,,Lumisizer - VM,Bottom Separation,N,10062ZS02,2E+11
1093,R-20221114-00092,S-221114-01673,,Lumisizer - VM,Bottom Severity (%),0,10062ZS02,2E+11
1094,R-20221116-00078,S-221116-02039,,Lumisizer - VM,Bottom Separation,N,F-221116-00090,200000242962/005/000
1095,R-20221116-00078,S-221116-02039,,Lumisizer - VM,Top Onset (min),0,F-221116-00090,200000242962/005/000
1096,R-20221116-00078,S-221116-02039,,Lumisizer - VM,Bottom Onset (min),0,F-221116-00090,200000242962/005/000
1097,R-20221116-00078,S-221116-02039,,Lumisizer - VM,Top Severity (%),0,F-221116-00090,200000242962/005/000
1098,R-20221116-00078,S-221116-02039,,Lumisizer - VM,Top Separation,N,F-221116-00090,200000242962/005/000
1099,R-20221116-00078,S-221116-02039,,Lumisizer - VM,Bottom Severity (%),0,F-221116-00090,200000242962/005/000
1100,R-20221116-00080,S-221116-01954,,Lumisizer - VM,Top Separation,N,F-221031-00092,
1101,R-20221116-00080,S-221116-01954,,Lumisizer - VM,Bottom Separation,N,F-221031-00092,
1102,R-20221116-00080,S-221116-01954,,Lumisizer - VM,Bottom Severity (%),0,F-221031-00092,
1103,R-20221116-00080,S-221116-01954,,Lumisizer - VM,Top Onset (min),0,F-221031-00092,
1104,R-20221116-00080,S-221116-01954,,Lumisizer - VM,Top Severity (%),0,F-221031-00092,
1105,R-20221116-00080,S-221116-01954,,Lumisizer - VM,Bottom Onset (min),0,F-221031-00092,
1106,R-20221117-00057,S-221117-00611,,Lumisizer - VM,Bottom Separation,N,F-221117-00127,2E+11
1107,R-20221117-00057,S-221117-00611,,Lumisizer - VM,Top Severity (%),5.1,F-221117-00127,2E+11
1108,R-20221117-00057,S-221117-00611,,Lumisizer - VM,Top Separation,Y,F-221117-00127,2E+11
1109,R-20221117-00057,S-221117-00611,,Lumisizer - VM,Bottom Onset (min),0,F-221117-00127,2E+11
1110,R-20221117-00057,S-221117-00611,,Lumisizer - VM,Top Onset (min),30.6,F-221117-00127,2E+11
1111,R-20221117-00057,S-221117-00611,,Lumisizer - VM,Bottom Severity (%),0,F-221117-00127,2E+11
1112,R-20221119-00002,S-221119-00093,,Lumisizer - VM,Bottom Onset (min),0,F-221117-00095,
1113,R-20221119-00002,S-221119-00093,,Lumisizer - VM,Bottom Severity (%),0,F-221117-00095,
1114,R-20221119-00002,S-221119-00093,,Lumisizer - VM,Top Separation,N,F-221117-00095,
1115,R-20221119-00002,S-221119-00093,,Lumisizer - VM,Top Onset (min),0,F-221117-00095,
1116,R-20221119-00002,S-221119-00093,,Lumisizer - VM,Top Severity (%),0,F-221117-00095,
1117,R-20221119-00002,S-221119-00093,,Lumisizer - VM,Bottom Separation,N,F-221117-00095,
1118,R-20221119-00003,S-221119-00117,,Lumisizer - VM,Top Separation,Y,F-221117-00120,
1119,R-20221119-00003,S-221119-00117,,Lumisizer - VM,Bottom Severity (%),0,F-221117-00120,
1120,R-20221119-00003,S-221119-00117,,Lumisizer - VM,Top Severity (%),5.5,F-221117-00120,
1121,R-20221119-00003,S-221119-00117,,Lumisizer - VM,Bottom Separation,N,F-221117-00120,
1122,R-20221119-00003,S-221119-00117,,Lumisizer - VM,Bottom Onset (min),0,F-221117-00120,
1123,R-20221119-00003,S-221119-00117,,Lumisizer - VM,Top Onset (min),25.6,F-221117-00120,
1124,R-20221119-00004,S-221119-00141,,Lumisizer - VM,Bottom Separation,N,F-221117-00122,
1125,R-20221119-00004,S-221119-00141,,Lumisizer - VM,Bottom Onset (min),0,F-221117-00122,
1126,R-20221119-00004,S-221119-00141,,Lumisizer - VM,Top Separation,Y,F-221117-00122,
1127,R-20221119-00004,S-221119-00141,,Lumisizer - VM,Bottom Severity (%),0,F-221117-00122,
1128,R-20221119-00004,S-221119-00141,,Lumisizer - VM,Top Severity (%),5.9,F-221117-00122,
1129,R-20221119-00004,S-221119-00141,,Lumisizer - VM,Top Onset (min),43.1,F-221117-00122,
1130,R-20221119-00005,S-221119-00165,,Lumisizer - VM,Bottom Severity (%),0,F-221118-00101,
1131,R-20221119-00005,S-221119-00165,,Lumisizer - VM,Top Onset (min),44.6,F-221118-00101,
1132,R-20221119-00005,S-221119-00165,,Lumisizer - VM,Top Separation,Y,F-221118-00101,
1133,R-20221119-00005,S-221119-00165,,Lumisizer - VM,Bottom Separation,N,F-221118-00101,
1134,R-20221119-00005,S-221119-00165,,Lumisizer - VM,Top Severity (%),6.4,F-221118-00101,
1135,R-20221119-00005,S-221119-00165,,Lumisizer - VM,Bottom Onset (min),0,F-221118-00101,
1136,R-20221121-00030,S-221121-02324,,Lumisizer - VM,Bottom Onset (min),0,F-221114-00114,200000263020/002/000
1137,R-20221121-00030,S-221121-02324,,Lumisizer - VM,Top Onset (min),0,F-221114-00114,200000263020/002/000
1138,R-20221121-00030,S-221121-02324,,Lumisizer - VM,Top Separation,N,F-221114-00114,200000263020/002/000
1139,R-20221121-00030,S-221121-02324,,Lumisizer - VM,Top Severity (%),0,F-221114-00114,200000263020/002/000
1140,R-20221121-00030,S-221121-02324,,Lumisizer - VM,Bottom Separation,N,F-221114-00114,200000263020/002/000
1141,R-20221121-00030,S-221121-02324,,Lumisizer - VM,Bottom Severity (%),0,F-221114-00114,200000263020/002/000
1142,R-20221121-00038,S-221121-02370,,Lumisizer - VM,Bottom Severity (%),0,F-221114-00115,200000247512/003/000
1143,R-20221121-00038,S-221121-02370,,Lumisizer - VM,Top Separation,N,F-221114-00115,200000247512/003/000
1144,R-20221121-00038,S-221121-02370,,Lumisizer - VM,Top Onset (min),0,F-221114-00115,200000247512/003/000
1145,R-20221121-00038,S-221121-02370,,Lumisizer - VM,Bottom Separation,N,F-221114-00115,200000247512/003/000
1146,R-20221121-00038,S-221121-02370,,Lumisizer - VM,Top Severity (%),0,F-221114-00115,200000247512/003/000
1147,R-20221121-00038,S-221121-02370,,Lumisizer - VM,Bottom Onset (min),0,F-221114-00115,200000247512/003/000
1148,R-20221121-00040,S-221121-02439,,Lumisizer - VM,Bottom Severity (%),0,F-221115-00167,200000247512/003/000
1149,R-20221121-00040,S-221121-02439,,Lumisizer - VM,Bottom Onset (min),0,F-221115-00167,200000247512/003/000
1150,R-20221121-00040,S-221121-02439,,Lumisizer - VM,Bottom Separation,N,F-221115-00167,200000247512/003/000
1151,R-20221121-00040,S-221121-02439,,Lumisizer - VM,Top Separation,N,F-221115-00167,200000247512/003/000
1152,R-20221121-00040,S-221121-02439,,Lumisizer - VM,Top Onset (min),0,F-221115-00167,200000247512/003/000
1153,R-20221121-00040,S-221121-02439,,Lumisizer - VM,Top Severity (%),0,F-221115-00167,200000247512/003/000
1154,R-20221122-00061,S-221122-01040,,Lumisizer - VM,Bottom Severity (%),0,F-221115-00168,200000247512/003/000
1155,R-20221122-00061,S-221122-01040,,Lumisizer - VM,Bottom Separation,N,F-221115-00168,200000247512/003/000
1156,R-20221122-00061,S-221122-01040,,Lumisizer - VM,Bottom Onset (min),0,F-221115-00168,200000247512/003/000
1157,R-20221122-00061,S-221122-01040,,Lumisizer - VM,Top Onset (min),0,F-221115-00168,200000247512/003/000
1158,R-20221122-00061,S-221122-01040,,Lumisizer - VM,Top Separation,N,F-221115-00168,200000247512/003/000
1159,R-20221122-00061,S-221122-01040,,Lumisizer - VM,Top Severity (%),0,F-221115-00168,200000247512/003/000
1160,R-20221122-00062,S-221122-01086,,Lumisizer - VM,Bottom Onset (min),0,F-221116-00098,200000247512/003/000
1161,R-20221122-00062,S-221122-01086,,Lumisizer - VM,Bottom Severity (%),0,F-221116-00098,200000247512/003/000
1162,R-20221122-00062,S-221122-01086,,Lumisizer - VM,Top Separation,N,F-221116-00098,200000247512/003/000
1163,R-20221122-00062,S-221122-01086,,Lumisizer - VM,Bottom Separation,N,F-221116-00098,200000247512/003/000
1164,R-20221122-00062,S-221122-01086,,Lumisizer - VM,Top Onset (min),0,F-221116-00098,200000247512/003/000
1165,R-20221122-00062,S-221122-01086,,Lumisizer - VM,Top Severity (%),0,F-221116-00098,200000247512/003/000
1166,R-20221122-00076,S-221122-01227,,Lumisizer - VM,Top Onset (min),0,F-221122-00047,200000247512/003/000
1167,R-20221122-00076,S-221122-01227,,Lumisizer - VM,Bottom Severity (%),4.8,F-221122-00047,200000247512/003/000
1168,R-20221122-00076,S-221122-01227,,Lumisizer - VM,Bottom Onset (min),160.5,F-221122-00047,200000247512/003/000
1169,R-20221122-00076,S-221122-01227,,Lumisizer - VM,Top Separation,N,F-221122-00047,200000247512/003/000
1170,R-20221122-00076,S-221122-01227,,Lumisizer - VM,Bottom Separation,Y,F-221122-00047,200000247512/003/000
1171,R-20221122-00076,S-221122-01227,,Lumisizer - VM,Top Severity (%),0,F-221122-00047,200000247512/003/000
1172,R-20221123-00067,S-221123-01735,,Lumisizer - VM,Bottom Separation,N,F-221117-00096,200000242962/005/000
1173,R-20221123-00067,S-221123-01735,,Lumisizer - VM,Bottom Onset (min),0,F-221117-00096,200000242962/005/000
1174,R-20221123-00067,S-221123-01735,,Lumisizer - VM,Top Separation,N,F-221117-00096,200000242962/005/000
1175,R-20221123-00067,S-221123-01735,,Lumisizer - VM,Bottom Severity (%),0,F-221117-00096,200000242962/005/000
1176,R-20221123-00067,S-221123-01735,,Lumisizer - VM,Top Severity (%),0,F-221117-00096,200000242962/005/000
1177,R-20221123-00067,S-221123-01735,,Lumisizer - VM,Top Onset (min),0,F-221117-00096,200000242962/005/000
1178,R-20221123-00068,S-221123-01781,,Lumisizer - VM,Top Onset (min),0,F-221117-00096,200000242962/005/000
1179,R-20221123-00068,S-221123-01781,,Lumisizer - VM,Bottom Separation,N,F-221117-00096,200000242962/005/000
1180,R-20221123-00068,S-221123-01781,,Lumisizer - VM,Bottom Severity (%),0,F-221117-00096,200000242962/005/000
1181,R-20221123-00068,S-221123-01781,,Lumisizer - VM,Bottom Onset (min),0,F-221117-00096,200000242962/005/000
1182,R-20221123-00068,S-221123-01781,,Lumisizer - VM,Top Separation,N,F-221117-00096,200000242962/005/000
1183,R-20221123-00068,S-221123-01781,,Lumisizer - VM,Top Severity (%),0,F-221117-00096,200000242962/005/000
1184,R-20221130-00055,S-221205-03008,,Lumisizer - VM,Bottom Onset (min),0,JD-113022-01 CONCENTRATE,
1185,R-20221130-00055,S-221205-03008,,Lumisizer - VM,Top Separation,Y,JD-113022-01 CONCENTRATE,
1186,R-20221130-00055,S-221205-03008,,Lumisizer - VM,Top Severity (%),25,JD-113022-01 CONCENTRATE,
1187,R-20221130-00055,S-221205-03008,,Lumisizer - VM,Bottom Severity (%),0,JD-113022-01 CONCENTRATE,
1188,R-20221130-00055,S-221205-03008,,Lumisizer - VM,Top Onset (min),25.5,JD-113022-01 CONCENTRATE,
1189,R-20221130-00055,S-221205-03008,,Lumisizer - VM,Bottom Separation,N,JD-113022-01 CONCENTRATE,
1190,R-20221205-00068,S-221205-02938,,Lumisizer - VM,Bottom Separation,N,F-221130-00137,200000247512/003/000
1191,R-20221205-00068,S-221205-02938,,Lumisizer - VM,Top Onset (min),0,F-221130-00137,200000247512/003/000
1192,R-20221205-00068,S-221205-02938,,Lumisizer - VM,Top Severity (%),0,F-221130-00137,200000247512/003/000
1193,R-20221205-00068,S-221205-02938,,Lumisizer - VM,Bottom Severity (%),0,F-221130-00137,200000247512/003/000
1194,R-20221205-00068,S-221205-02938,,Lumisizer - VM,Bottom Onset (min),0,F-221130-00137,200000247512/003/000
1195,R-20221205-00068,S-221205-02938,,Lumisizer - VM,Top Separation,N,F-221130-00137,200000247512/003/000
1196,R-20221205-00069,S-221205-02984,,Lumisizer - VM,Bottom Onset (min),0,F-221130-00138,200000247512/003/000
1197,R-20221205-00069,S-221205-02984,,Lumisizer - VM,Top Onset (min),0,F-221130-00138,200000247512/003/000
1198,R-20221205-00069,S-221205-02984,,Lumisizer - VM,Top Separation,N,F-221130-00138,200000247512/003/000
1199,R-20221205-00069,S-221205-02984,,Lumisizer - VM,Bottom Severity (%),0,F-221130-00138,200000247512/003/000
1200,R-20221205-00069,S-221205-02984,,Lumisizer - VM,Bottom Separation,N,F-221130-00138,200000247512/003/000
1201,R-20221205-00069,S-221205-02984,,Lumisizer - VM,Top Severity (%),0,F-221130-00138,200000247512/003/000
1202,R-20221205-00070,S-221205-03056,,Lumisizer - VM,Top Severity (%),16.9,18/2022,200000249267/002/001
1203,R-20221205-00070,S-221205-03056,,Lumisizer - VM,Bottom Separation,N,18/2022,200000249267/002/001
1204,R-20221205-00070,S-221205-03056,,Lumisizer - VM,Top Separation,Y,18/2022,200000249267/002/001
1205,R-20221205-00070,S-221205-03056,,Lumisizer - VM,Bottom Onset (min),0,18/2022,200000249267/002/001
1206,R-20221205-00070,S-221205-03056,,Lumisizer - VM,Bottom Severity (%),0,18/2022,200000249267/002/001
1207,R-20221205-00070,S-221205-03056,,Lumisizer - VM,Top Onset (min),3.1,18/2022,200000249267/002/001
1208,R-20221205-00071,S-221205-03102,,Lumisizer - VM,Bottom Separation,N,19/2022,200000249266/004/001
1209,R-20221205-00071,S-221205-03102,,Lumisizer - VM,Top Separation,Y,19/2022,200000249266/004/001
1210,R-20221205-00071,S-221205-03102,,Lumisizer - VM,Bottom Onset (min),0,19/2022,200000249266/004/001
1211,R-20221205-00071,S-221205-03102,,Lumisizer - VM,Bottom Severity (%),0,19/2022,200000249266/004/001
1212,R-20221205-00071,S-221205-03102,,Lumisizer - VM,Top Severity (%),5.3,19/2022,200000249266/004/001
1213,R-20221205-00071,S-221205-03102,,Lumisizer - VM,Top Onset (min),3.1,19/2022,200000249266/004/001
1214,R-20221205-00072,S-221205-03148,,Lumisizer - VM,Bottom Severity (%),9.5,18/2022,200000249982/004/001
1215,R-20221205-00072,S-221205-03148,,Lumisizer - VM,Bottom Separation,Y,18/2022,200000249982/004/001
1216,R-20221205-00072,S-221205-03148,,Lumisizer - VM,Top Separation,N,18/2022,200000249982/004/001
1217,R-20221205-00072,S-221205-03148,,Lumisizer - VM,Bottom Onset (min),30.5,18/2022,200000249982/004/001
1218,R-20221205-00072,S-221205-03148,,Lumisizer - VM,Top Severity (%),0,18/2022,200000249982/004/001
1219,R-20221205-00072,S-221205-03148,,Lumisizer - VM,Top Onset (min),0,18/2022,200000249982/004/001
1220,R-20221205-00078,S-221205-03733,,Lumisizer - VM,Bottom Onset (min),0,JD113022-01 DILUTE,
1221,R-20221205-00078,S-221205-03733,,Lumisizer - VM,Bottom Severity (%),0,JD113022-01 DILUTE,
1222,R-20221205-00078,S-221205-03733,,Lumisizer - VM,Bottom Separation,N,JD113022-01 DILUTE,
1223,R-20221205-00078,S-221205-03733,,Lumisizer - VM,Top Onset (min),0,JD113022-01 DILUTE,
1224,R-20221205-00078,S-221205-03733,,Lumisizer - VM,Top Separation,N,JD113022-01 DILUTE,
1225,R-20221205-00078,S-221205-03733,,Lumisizer - VM,Top Severity (%),0,JD113022-01 DILUTE,
1226,R-20221206-00054,S-221206-00582,,Lumisizer - VM,Bottom Severity (%),0,F-221130-00141,200000247512/003/000
1227,R-20221206-00054,S-221206-00582,,Lumisizer - VM,Top Onset (min),0,F-221130-00141,200000247512/003/000
1228,R-20221206-00054,S-221206-00582,,Lumisizer - VM,Bottom Onset (min),0,F-221130-00141,200000247512/003/000
1229,R-20221206-00054,S-221206-00582,,Lumisizer - VM,Bottom Separation,N,F-221130-00141,200000247512/003/000
1230,R-20221206-00054,S-221206-00582,,Lumisizer - VM,Top Separation,N,F-221130-00141,200000247512/003/000
1231,R-20221206-00054,S-221206-00582,,Lumisizer - VM,Top Severity (%),0,F-221130-00141,200000247512/003/000
1232,R-20221206-00056,S-221206-00653,,Lumisizer - VM,Top Onset (min),0,F-221201-00069,200000247512/003/000
1233,R-20221206-00056,S-221206-00653,,Lumisizer - VM,Bottom Severity (%),0,F-221201-00069,200000247512/003/000
1234,R-20221206-00056,S-221206-00653,,Lumisizer - VM,Bottom Separation,N,F-221201-00069,200000247512/003/000
1235,R-20221206-00056,S-221206-00653,,Lumisizer - VM,Bottom Onset (min),0,F-221201-00069,200000247512/003/000
1236,R-20221206-00056,S-221206-00653,,Lumisizer - VM,Top Separation,N,F-221201-00069,200000247512/003/000
1237,R-20221206-00056,S-221206-00653,,Lumisizer - VM,Top Severity (%),0,F-221201-00069,200000247512/003/000
1238,R-20221207-00024,S-221207-00906,,Lumisizer - VM,Top Separation,N,F-221206-00062,200000242962/005/000
1239,R-20221207-00024,S-221207-00906,,Lumisizer - VM,Top Onset (min),0,F-221206-00062,200000242962/005/000
1240,R-20221207-00024,S-221207-00906,,Lumisizer - VM,Bottom Separation,N,F-221206-00062,200000242962/005/000
1241,R-20221207-00024,S-221207-00906,,Lumisizer - VM,Bottom Severity (%),0,F-221206-00062,200000242962/005/000
1242,R-20221207-00024,S-221207-00906,,Lumisizer - VM,Top Severity (%),0,F-221206-00062,200000242962/005/000
1243,R-20221207-00024,S-221207-00906,,Lumisizer - VM,Bottom Onset (min),0,F-221206-00062,200000242962/005/000
1244,R-20221207-00025,S-221207-00952,,Lumisizer - VM,Bottom Onset (min),0,F-221205-00145,200000263020/002/000
1245,R-20221207-00025,S-221207-00952,,Lumisizer - VM,Bottom Severity (%),0,F-221205-00145,200000263020/002/000
1246,R-20221207-00025,S-221207-00952,,Lumisizer - VM,Top Severity (%),0,F-221205-00145,200000263020/002/000
1247,R-20221207-00025,S-221207-00952,,Lumisizer - VM,Top Separation,N,F-221205-00145,200000263020/002/000
1248,R-20221207-00025,S-221207-00952,,Lumisizer - VM,Bottom Separation,N,F-221205-00145,200000263020/002/000
1249,R-20221207-00025,S-221207-00952,,Lumisizer - VM,Top Onset (min),0,F-221205-00145,200000263020/002/000
1250,R-20221207-00030,S-221207-01104,,Lumisizer - VM,Bottom Onset (min),0,F-221207-00065,200000247068/002/000
1251,R-20221207-00030,S-221207-01104,,Lumisizer - VM,Top Severity (%),0,F-221207-00065,200000247068/002/000
1252,R-20221207-00030,S-221207-01104,,Lumisizer - VM,Top Separation,N,F-221207-00065,200000247068/002/000
1253,R-20221207-00030,S-221207-01104,,Lumisizer - VM,Bottom Separation,N,F-221207-00065,200000247068/002/000
1254,R-20221207-00030,S-221207-01104,,Lumisizer - VM,Bottom Severity (%),0,F-221207-00065,200000247068/002/000
1255,R-20221207-00030,S-221207-01104,,Lumisizer - VM,Top Onset (min),0,F-221207-00065,200000247068/002/000
1256,R-20221207-00045,S-221207-01435,,Lumisizer - VM,Bottom Onset (min),0,F-221207-00083,200000247105/001/000
1257,R-20221207-00045,S-221207-01435,,Lumisizer - VM,Top Separation,N,F-221207-00083,200000247105/001/000
1258,R-20221207-00045,S-221207-01435,,Lumisizer - VM,Bottom Severity (%),0,F-221207-00083,200000247105/001/000
1259,R-20221207-00045,S-221207-01435,,Lumisizer - VM,Bottom Separation,N,F-221207-00083,200000247105/001/000
1260,R-20221207-00045,S-221207-01435,,Lumisizer - VM,Top Severity (%),0,F-221207-00083,200000247105/001/000
