Request,Sample,Batch,Parameter List,Parameter,Data
R-20210506-00038,S-210506-00920,,Lumisizer - VM,Lumisizer Separated Layers,3
R-20210506-00038,S-210506-00920,,Lumisizer - VM,Lumisizer Separation Location,Top/Bottom
R-20210506-00039,S-210506-00966,,Lumisizer - VM,Lumisizer Separated Layers,3
R-20210506-00039,S-210506-00966,,Lumisizer - VM,Lumisizer Separation,Y
R-20210506-00039,S-210506-00966,,Lumisizer - VM,Lumisizer Onset of Major Separation,70
R-20210506-00039,S-210506-00966,,Lumisizer - VM,Lumisizer Separation Severity,11.10
R-20210506-00039,S-210506-00966,,Lumisizer - VM,Lumisizer Separation Location,Top/Bottom
R-20210506-00040,S-210506-01012,,Lumisizer - VM,Lumisizer Separation Location,N/A
R-20210506-00040,S-210506-01012,,Lumisizer - VM,Lumisizer Onset of Major Separation,N/A
R-20210506-00040,S-210506-01012,,Lumisizer - VM,Lumisizer Separated Layers,N/A
R-20210506-00040,S-210506-01012,,Lumisizer - VM,Lumisizer Separation,N
R-20210506-00040,S-210506-01012,,Lumisizer - VM,Lumisizer Separation Severity,N/A
R-20210507-00030,S-210507-00535,,Lumisizer - VM,Lumisizer Onset of Major Separation,80
R-20210507-00030,S-210507-00535,,Lumisizer - VM,Lumisizer Separated Layers,3
R-20210507-00030,S-210507-00535,,Lumisizer - VM,Lumisizer Separation,Y
R-20210507-00030,S-210507-00535,,Lumisizer - VM,Lumisizer Separation Location,Top/Bottom
R-20210507-00030,S-210507-00535,,Lumisizer - VM,Lumisizer Separation Severity,21.00
R-20210507-00041,S-210507-00828,,Lumisizer - VM,Lumisizer Separation,Y
R-20210507-00041,S-210507-00828,,Lumisizer - VM,Lumisizer Onset of Major Separation,50
R-20210507-00041,S-210507-00828,,Lumisizer - VM,Lumisizer Separation Location,Top
R-20210507-00041,S-210507-00828,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210507-00041,S-210507-00828,,Lumisizer - VM,Lumisizer Separation Severity,1.60
R-20210507-00042,S-210507-00878,,Lumisizer - VM,Lumisizer Onset of Major Separation,N/A
R-20210507-00042,S-210507-00878,,Lumisizer - VM,Lumisizer Separation Location,N/A
R-20210507-00042,S-210507-00878,,Lumisizer - VM,Lumisizer Separation Severity,N/A
R-20210507-00042,S-210507-00878,,Lumisizer - VM,Lumisizer Separation,N
R-20210507-00042,S-210507-00878,,Lumisizer - VM,Lumisizer Separated Layers,N/A
R-20210510-00040,S-210510-00692,,Lumisizer - VM,Lumisizer Separation Severity,NA
R-20210510-00040,S-210510-00692,,Lumisizer - VM,Lumisizer Separated Layers,1
R-20210510-00040,S-210510-00692,,Lumisizer - VM,Lumisizer Separation Location,N/A
R-20210510-00040,S-210510-00692,,Lumisizer - VM,Lumisizer Separation,N
R-20210510-00040,S-210510-00692,,Lumisizer - VM,Lumisizer Onset of Major Separation,NA
R-20210510-00041,S-210510-00716,,Lumisizer - VM,Lumisizer Separation,N
R-20210510-00041,S-210510-00716,,Lumisizer - VM,Lumisizer Separation Severity,NA
R-20210510-00041,S-210510-00716,,Lumisizer - VM,Lumisizer Separated Layers,1
R-20210510-00041,S-210510-00716,,Lumisizer - VM,Lumisizer Onset of Major Separation,NA
R-20210510-00041,S-210510-00716,,Lumisizer - VM,Lumisizer Separation Location,N/A
R-20210510-00050,S-210510-01078,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210510-00050,S-210510-01078,,Lumisizer - VM,Lumisizer Separation,Y
R-20210510-00050,S-210510-01078,,Lumisizer - VM,Lumisizer Onset of Major Separation,55
R-20210510-00050,S-210510-01078,,Lumisizer - VM,Lumisizer Separation Severity,1.58
R-20210510-00050,S-210510-01078,,Lumisizer - VM,Lumisizer Separation Location,Top
R-20210510-00053,S-210511-00682,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210510-00053,S-210511-00682,,Lumisizer - VM,Lumisizer Separation Severity,<3.00
R-20210510-00053,S-210511-00682,,Lumisizer - VM,Lumisizer Onset of Major Separation,N/A
R-20210510-00053,S-210511-00682,,Lumisizer - VM,Lumisizer Separation Location,Top
R-20210510-00053,S-210511-00682,,Lumisizer - VM,Lumisizer Separation,Y
R-20210511-00058,S-210511-00766,,Lumisizer - VM,Lumisizer Separation,Y
